,10,50,100,500
0,5.137182272787205e-07,2.0617155287632863e-07,1.2380749740513834e-07,6.962580694804717e-08
1,3.5906764848261316e-07,2.2455329642596697e-07,1.461795119787222e-07,6.97593877782483e-08
2,4.554802253039124e-07,2.339875841094103e-07,5.682341926231196e-08,6.563043244931517e-08
3,1.130877451518091e-06,2.2359071335883524e-07,1.3754025165766874e-07,6.875778992122562e-08
4,3.5084757252976853e-07,2.377617686807796e-07,1.484013414173017e-07,6.733681420838639e-08
5,3.2771951505188216e-07,1.4065350647961273e-06,1.3706931362535986e-07,6.987568443220767e-08
6,6.518843352103398e-07,1.9465469976948103e-07,1.304791765612719e-07,6.351395943906123e-08
7,1.5308769055979543e-07,2.2669156362371412e-07,1.3755155144282607e-07,7.011859487681671e-08
8,3.524528573470687e-07,2.3548718412354828e-07,1.622201996770162e-07,6.713397905801338e-08
9,1.217931610166213e-07,2.0842027286253515e-07,1.4792678517787098e-07,7.03531639459152e-08
10,3.730096457658417e-07,2.2008954266826046e-07,1.4404796744534232e-07,6.275360295222371e-08
11,2.2162297425361974e-06,1.9388029413518656e-07,1.3919524307015694e-07,6.902256473389018e-08
12,3.951208404811767e-07,7.730053661650737e-07,1.1684608197335649e-07,6.855256096546812e-08
13,1.1007286796480165e-06,2.064480153532675e-07,1.642575755282636e-07,6.92303459777952e-08
14,4.876738282664614e-07,2.0538575427517521e-07,1.501473421870955e-07,6.884238082764487e-08
15,2.3786528998615495e-06,1.8134125391094997e-07,1.3261885135671262e-07,7.133192830008396e-08
16,6.108375036393508e-07,1.8409054305503315e-07,1.6457203265033955e-07,7.034848160458083e-08
17,3.6864739377652754e-07,1.9691832321892008e-07,1.356437998857311e-07,6.708395661371719e-08
18,4.1316340858042875e-07,1.674431767754584e-07,1.271017460006502e-07,6.821530536746308e-08
19,4.137224456645958e-07,1.4070075637022963e-07,1.5569802600763638e-07,7.317235656478507e-08
20,8.525940943164375e-07,2.3682028214630648e-07,1.500946943918527e-07,6.566164223431096e-08
21,2.478780373680393e-06,2.1914169750319917e-07,1.5220943467190782e-07,6.776706155943306e-08
22,3.2981082930665097e-07,2.052305436955354e-07,1.511900902660809e-07,6.042912940459236e-08
23,9.996541613482944e-07,2.006482472349838e-07,1.4110756826606527e-07,6.991942966923523e-08
24,2.0667008518631218e-07,1.759076327629511e-07,1.4101237439920904e-07,6.706269543344681e-08
25,4.712904464102452e-07,1.692951728003199e-07,1.3340795874599855e-07,6.706965670193033e-08
26,4.1796965518031446e-07,2.1137161261131426e-07,1.5100138625546467e-07,6.981005751603851e-08
27,4.718648728924758e-07,1.9018053703733503e-07,1.5242394826342194e-07,6.606788977332378e-08
28,6.119812175378168e-07,1.632998714282183e-07,1.4222686140491996e-07,6.566003429036575e-08
29,5.399667637758275e-07,1.8918947081963188e-07,1.4024194101450625e-07,6.468690797496075e-08
30,3.885616375718506e-07,2.0789219872608304e-07,1.5179951614390594e-07,6.904424475385337e-08
31,4.768820565368628e-07,1.8342330791615726e-07,1.478360180910189e-07,6.678934302333552e-08
32,3.7474017974225115e-07,2.2045993997084346e-07,1.4761001430007183e-07,6.86962148326272e-08
33,6.609649527113729e-07,1.8208400244283855e-07,1.5080883675331952e-07,6.897929819667036e-08
34,6.272824986583802e-07,1.8593265650555664e-07,1.6790598454491092e-07,6.867137327774898e-08
35,1.0623442041835242e-07,2.241993174853372e-07,1.5814640659097416e-07,6.665309575654079e-08
36,6.70928872144273e-07,1.9173211610465056e-07,1.4482292591726973e-07,6.970169574676422e-08
37,4.6126786911443325e-07,1.698107757501179e-07,1.5694897565373743e-07,6.776862021280731e-08
38,5.302591780875463e-07,1.7111208297377267e-07,1.4035844714127927e-07,6.956468782063952e-08
39,4.2148191950361695e-07,2.2235117022190832e-07,1.5787656343204552e-07,6.830878600005357e-08
40,4.1906036038205054e-07,1.8850758518722018e-07,1.7031331979209377e-07,6.562397865519017e-08
41,1.1667670583079788e-06,1.852793959758811e-07,1.4858169880840916e-07,6.550751090746462e-08
42,3.5468981013348996e-07,2.068329535235835e-07,1.576873212313372e-07,6.881290774905429e-08
43,5.892700652696461e-07,2.3014901251599047e-07,1.4813395684625216e-07,6.343771678342124e-08
44,1.8991561150008709e-06,2.133008323797447e-07,1.6725962128937433e-07,6.963459645049654e-08
45,3.129005171948354e-07,2.0937596976578137e-07,1.7453878475518155e-07,6.708512292027884e-08
46,5.749005072106368e-07,2.11290521365583e-07,1.2909195354531803e-07,7.079036398863389e-08
47,1.0981902253733625e-06,2.0393247232835023e-07,1.4050448800364502e-07,6.477145533325405e-08
48,4.532276642542728e-07,1.711757699517775e-07,1.512846337397386e-07,6.863169020685908e-08
49,4.262342096546417e-07,1.880756240222447e-07,1.5703934923633583e-07,6.682401373956463e-08
50,8.741565058134175e-07,2.3524089073287446e-07,1.4552799340278077e-07,6.71780142003369e-08
