avg,0
Time OSQP Forward ndim:10 neq=nineq=5,1.1e-04(5.7e-05)
Time OSQP Backward ndim:10 neq=nineq=5,4.9e-05(6.7e-06)
Time CVXPY Forward ndim:10 neq=nineq=5,4.3e-02(1.4e-02)
Time CVXPY Backward ndim:10 neq=nineq=5,4.0e-03(1.9e-03)
Time Exact Backward ndim:10 neq=nineq=5,4.1e-03(6.0e-03)
Time Qpth Backward ndim:10 neq=nineq=5,3.3e-03(9.8e-04)
Time Qpth Forward ndim:10 neq=nineq=5,8.2e-02(5.0e-02)
Accuracy Forward ndim:10 neq=nineq=5,1.6e-01(1.9e+00)
Accuracy OSQP Backward ndim:10 neq=nineq=5,6.3e-04(2.8e-03)
Accuracy CVXPY Backward ndim:10 neq=nineq=5,5.9e-04(2.8e-03)
Accuracy QPTH Backward ndim:10 neq=nineq=5,1.1e-03(4.5e-03)
Time OSQP Forward ndim:50 neq=nineq=10,8.2e-04(5.2e-04)
Time OSQP Backward ndim:50 neq=nineq=10,2.6e-04(5.5e-05)
Time CVXPY Forward ndim:50 neq=nineq=10,3.8e+00(1.4e-01)
Time CVXPY Backward ndim:50 neq=nineq=10,7.5e-03(1.7e-03)
Time Exact Backward ndim:50 neq=nineq=10,3.3e-02(2.8e-02)
Time Qpth Backward ndim:50 neq=nineq=10,3.6e-03(8.9e-04)
Time Qpth Forward ndim:50 neq=nineq=10,9.2e-02(2.0e-02)
Accuracy Forward ndim:50 neq=nineq=10,4.6e-04(3.3e-03)
Accuracy OSQP Backward ndim:50 neq=nineq=10,2.1e-05(1.8e-04)
Accuracy CVXPY Backward ndim:50 neq=nineq=10,7.6e-01(3.9e-01)
Accuracy QPTH Backward ndim:50 neq=nineq=10,2.7e-03(5.3e-03)
Time OSQP Forward ndim:100 neq=nineq=20,5.1e-03(3.2e-03)
Time OSQP Backward ndim:100 neq=nineq=20,1.0e-03(8.4e-04)
Time CVXPY Forward ndim:100 neq=nineq=20,nan(nan)
Time CVXPY Backward ndim:100 neq=nineq=20,nan(nan)
Time Exact Backward ndim:100 neq=nineq=20,3.4e-01(5.4e-02)
Time Qpth Backward ndim:100 neq=nineq=20,3.8e-03(1.2e-03)
Time Qpth Forward ndim:100 neq=nineq=20,1.3e-01(2.4e-02)
Accuracy Forward ndim:100 neq=nineq=20,1.1e-03(2.9e-03)
Accuracy OSQP Backward ndim:100 neq=nineq=20,3.5e-05(4.3e-04)
Accuracy CVXPY Backward ndim:100 neq=nineq=20,nan(nan)
Accuracy QPTH Backward ndim:100 neq=nineq=20,8.4e-03(1.3e-02)
Time OSQP Forward ndim:500 neq=nineq=100,1.5e-01(2.2e-02)
Time OSQP Backward ndim:500 neq=nineq=100,1.2e-02(2.0e-03)
Time CVXPY Forward ndim:500 neq=nineq=100,nan(nan)
Time CVXPY Backward ndim:500 neq=nineq=100,nan(nan)
Time Exact Backward ndim:500 neq=nineq=100,3.7e+00(2.5e-01)
Time Qpth Backward ndim:500 neq=nineq=100,nan(nan)
Time Qpth Forward ndim:500 neq=nineq=100,nan(nan)
Accuracy Forward ndim:500 neq=nineq=100,nan(nan)
Accuracy OSQP Backward ndim:500 neq=nineq=100,2.1e-05(8.7e-05)
Accuracy CVXPY Backward ndim:500 neq=nineq=100,nan(nan)
Accuracy QPTH Backward ndim:500 neq=nineq=100,nan(nan)
