,10,50,100,500
0,4.845178185309959e-07,1.671231355854638e-07,1.2055270579275902e-07,6.266870673144808e-08
1,3.643950215824142e-07,1.7764456516863477e-07,1.3350912833989986e-07,6.196581550688544e-08
2,2.8145961245881086e-07,2.0114043235594666e-07,1.2982500111485602e-07,6.472812734438833e-08
3,4.469138586064649e-07,1.899777668587943e-07,1.4564032013664735e-07,6.190380392401168e-08
4,3.490376215641173e-07,2.461583052413892e-07,1.3211828739255133e-07,6.356702154976684e-08
5,5.343451237458349e-07,1.8198635439926403e-07,1.3883073232440752e-07,6.442406388235495e-08
6,3.029358118430694e-07,1.4520525102234507e-07,1.3352059970966146e-07,6.431795798475828e-08
7,5.189312266847608e-07,1.878509868278694e-07,1.441395922926768e-07,6.588805973306878e-08
8,4.12905394115828e-07,2.0289689154317192e-07,1.1652738427618028e-07,6.581192196913427e-08
9,4.820228293367466e-07,2.111168615257526e-07,1.6076981158062558e-07,6.434578409239459e-08
10,2.286101884429409e-07,1.9634565492357142e-07,1.5919502715094276e-07,6.083768690155388e-08
11,3.991791148181854e-07,1.832654372313687e-07,1.2818415051851206e-07,6.511585711939392e-08
12,5.680524548658805e-07,1.9861742387699182e-07,1.2909758595270278e-07,6.322277626287411e-08
13,2.679494315368361e-07,1.954700147283667e-07,1.5223385274822698e-07,6.579869540853615e-08
14,2.924037678201614e-07,2.2271229169385346e-07,1.5466708733738303e-07,5.973365162261373e-08
15,5.683230221923e-07,2.0137917843733225e-07,1.2525482110390175e-07,6.484631604942047e-08
16,5.726693992303024e-07,1.7773878041291265e-07,1.2645738555369408e-07,6.001007818893321e-08
17,5.378996768971581e-07,1.8178956042073488e-07,1.3317988743883344e-07,6.945811929170398e-08
18,4.114558321047923e-07,2.365977563548507e-07,1.194466371528073e-07,6.37458463658391e-08
19,6.573972828019241e-07,2.1227226902905406e-07,1.321435984388064e-07,5.968811523943425e-08
20,2.92216333406142e-07,1.9904444158024415e-07,1.3828015018782819e-07,6.360816931255477e-08
21,5.874119251063341e-07,1.9620225514625347e-07,1.4804505629211188e-07,6.2951662115663e-08
22,3.5889256707350854e-07,1.6918695055345723e-07,1.5417038492035977e-07,6.076775893451139e-08
23,4.259257409818701e-07,2.077755249602792e-07,1.411622541149894e-07,6.370085645922764e-08
24,3.218813965769965e-07,2.445501779443039e-07,1.300958517100822e-07,6.476248496627088e-08
25,3.2251739175701533e-07,2.0541492637243654e-07,1.2673763763703647e-07,6.533833494499034e-08
26,3.516938700542779e-07,1.7627309312105215e-07,1.766710878342086e-07,6.916604958215476e-08
27,4.973213930069688e-07,1.6263332458830592e-07,1.5542620512024883e-07,6.57543602066819e-08
28,4.118794344511901e-07,2.2547745603085107e-07,1.3387023392368857e-07,6.184981138898681e-08
29,3.961288305402381e-07,1.843766517942157e-07,1.5447994037615824e-07,6.252943568512938e-08
30,6.586604891706632e-07,1.9745631556370055e-07,1.2245983392972025e-07,6.299410760157219e-08
31,4.2419344344980386e-07,1.8443937301439565e-07,1.4307170833090488e-07,6.549686409441052e-08
32,4.55299685348641e-07,2.1940261233310957e-07,1.396053156332322e-07,6.223181945285063e-08
33,5.210444494532839e-07,2.235322735934347e-07,1.4093630875648946e-07,6.682400843832704e-08
34,4.2061657166192747e-07,2.522933705003016e-07,1.619970747286447e-07,6.313297008317968e-08
35,2.8122673893765405e-07,2.073264811977914e-07,1.41294336584094e-07,6.785677963003244e-08
36,5.293491766793036e-07,1.9173115218636314e-07,1.29921485103283e-07,6.042283898310223e-08
37,3.812377143460454e-07,2.4896217420194983e-07,1.1610886899122304e-07,6.264488479204826e-08
38,4.2580200929653347e-07,2.1186788660425693e-07,1.3306028331483463e-07,6.545282990438856e-08
39,4.7357278941461286e-07,1.3977235559328626e-07,1.4507600715286448e-07,6.511031408906274e-08
40,1.1216045371273055e-06,2.3557834043620932e-07,1.3583128492320452e-07,6.149949393068443e-08
41,4.891230141700618e-07,2.00919064998468e-07,1.4166266566480092e-07,6.18381691271673e-08
42,4.813649603545259e-07,1.6777149263342303e-07,1.5237339502213119e-07,6.333862211244901e-08
43,5.748005824568451e-07,1.9344340940001104e-07,1.4170246052148074e-07,6.52101740275158e-08
44,6.538287247546472e-07,1.745933304553142e-07,1.4870470435770505e-07,6.132775458515438e-08
45,3.8262382770176297e-07,1.5354964488311862e-07,1.3959368133934592e-07,6.627625451261525e-08
46,4.942802917402861e-07,1.9437194497680355e-07,1.5985816060334535e-07,6.131722881606424e-08
47,2.9635239919656103e-07,1.9209469022764568e-07,1.7304158153851018e-07,6.71350937145293e-08
