,10,50,100,500
0,1.4863311886359195e-08,3.2262434679936327e-09,5.83308627683788e-09,3.5853185325986463e-09
1,1.4531051203728702e-09,8.331990359285588e-09,5.300739077763434e-09,2.190836468683017e-09
2,3.5551530088562524e-07,1.2279281407204772e-08,2.0121723284199187e-09,4.111047324725474e-09
3,1.4507185373028377e-06,4.7343540662041695e-08,7.114831155028067e-09,2.2864510778902307e-09
4,1.3875681361884506e-08,2.875037619346876e-09,5.279938917023452e-09,3.916993606399193e-09
5,1.1129255351223229e-07,6.195374586511293e-09,9.089516951797771e-09,4.093574378927435e-09
6,5.940424722303633e-10,2.0114623708318422e-10,8.472788691193688e-09,4.094108460373973e-09
7,1.06620175045624e-07,6.422550080806612e-09,4.575733592035467e-09,1.4021958128568595e-09
8,6.1475756520152e-08,2.882187895942216e-09,1.9558248478300826e-09,4.074314148840816e-09
9,5.252807292538951e-07,1.1487356768724425e-08,3.907346571414699e-09,4.05621826152781e-09
10,1.3509766159975547e-08,1.042960222081656e-08,1.1899414750983387e-08,2.84376268269936e-09
11,1.478234837704388e-08,9.069675795670094e-10,4.766846023117052e-09,3.862479100968823e-09
12,8.730429011979161e-08,1.246650038589289e-08,4.092685492453857e-09,4.060360180004697e-09
13,3.071336725964622e-07,5.66879287857208e-09,1.8381949218668913e-09,4.144674879692487e-09
14,6.698099572895776e-07,1.5852884317035372e-08,3.461048783016557e-09,2.290332362189203e-09
15,1.2393761784516799e-08,1.1638589626479764e-08,2.6071983221167682e-09,4.029812082049149e-09
16,1.5796706034491755e-08,9.063842257329002e-09,2.375688461847145e-09,1.9732960531314297e-09
17,1.4870033309997908e-08,4.032654908842512e-09,3.664921174600978e-09,2.924573895742007e-10
18,6.605026005769623e-07,1.3708490402958789e-08,2.231256038346439e-09,2.7508159792293383e-09
19,6.59778961460104e-08,4.250741600835154e-09,3.427052152397451e-10,1.5872997581564422e-09
20,7.313031613931293e-07,1.2382844410216408e-08,6.014573011032507e-09,4.03956742229862e-09
21,6.605202278485722e-08,9.836180574868373e-09,9.191061547017258e-09,3.7242785863353765e-09
22,2.1637274144530236e-08,3.7094743651665494e-09,6.4169657852783e-09,2.9833151897178663e-09
23,3.160571139780448e-09,1.3104320126466954e-08,3.728833410467174e-09,2.1551799734985865e-09
24,5.398877321698768e-07,7.509688722055787e-09,7.84830889399523e-09,2.927128803466243e-09
25,1.592262462993604e-07,1.0094899411949894e-08,2.2858442111688934e-09,4.062610368022643e-09
26,1.5787062271495e-07,3.799945255975211e-09,4.096885913697703e-09,2.082391877944638e-09
27,1.1158242435606223e-07,4.636075752239648e-09,7.624574108027222e-09,4.154831231560661e-09
28,9.099348337973916e-10,1.3965479273212831e-08,8.560589553124968e-09,3.521004347784349e-09
29,2.377599814570517e-09,1.177095517501372e-08,6.484092475921883e-09,3.888459630720475e-09
30,4.2256089320834374e-07,3.6399373396215197e-09,6.605108544160455e-09,4.001653947600415e-09
31,2.466098449409237e-08,4.15108154327508e-08,5.803968601085582e-10,4.1614798722685085e-09
32,3.29236832159521e-08,1.785365063110113e-08,2.301041112970997e-09,3.507854434066828e-09
33,1.3505694880050557e-08,4.716285687336336e-09,2.522655921359783e-09,3.9867811785059005e-09
34,2.044906096935181e-08,3.426667106686674e-08,8.466458967478552e-10,3.2510369095337936e-09
35,2.219179732999595e-07,9.627437626288125e-09,8.690826622672044e-09,2.1862186569263095e-09
36,1.1793398970015901e-07,1.7185088459920925e-09,2.3355156100057294e-09,3.085701319268891e-09
37,1.9145043077783046e-08,5.5634518301836545e-08,1.341242737711231e-09,3.9792520736409374e-09
38,3.736074464145546e-07,9.685526860382726e-07,8.55783448459006e-09,4.086731636849029e-09
39,6.3635262656761036e-09,1.8776967136327421e-10,9.036591322970005e-09,4.084899178165322e-09
40,9.353483095342816e-08,3.4346494268810783e-08,4.523849962003367e-09,3.278655700448626e-09
41,5.376512359521151e-08,1.192814696893061e-08,1.9727277695253483e-09,3.972446426155508e-09
42,1.5027071368387836e-08,2.6277225065901972e-09,9.640065195529438e-09,3.994691497096956e-09
43,1.2649899582335158e-07,4.014940107439366e-09,2.6719902653225593e-09,3.957210214782777e-09
44,1.6672237404518284e-06,3.956974981578669e-09,8.935776409570069e-09,3.2520679885840747e-09
45,2.011601168395227e-09,1.2989328487421419e-09,3.906016768260634e-09,4.167306353219596e-09
46,1.1101750879383907e-08,5.978019110679182e-09,9.018962708876843e-09,3.9291499779037756e-09
47,4.825633455747507e-09,3.57263706513289e-09,2.449057469742718e-08,3.9331013003071756e-09
48,2.4007834395885834e-08,3.281793034353826e-09,7.373847138568685e-09,6.084913247712743e-10
49,1.0535228696156095e-07,3.1440111591731105e-09,6.685576051466944e-09,5.302647612443726e-10
50,2.4513493247096806e-08,5.153248719603927e-07,2.6393008033104283e-10,4.112584808109309e-09
51,7.450499389850954e-08,5.264210525861458e-09,7.49675191164179e-09,2.6025124704831603e-09
52,2.3106730460990065e-08,2.811181193554094e-09,4.751723996029169e-09,3.781681479181919e-09
53,8.542743530291617e-09,2.979213927579031e-09,9.26100297419019e-09,4.129283581670862e-09
54,2.1995480516316768e-08,3.598341746902039e-09,1.813193321455865e-09,3.0121272243163116e-09
55,8.486102113612038e-10,4.022246492450491e-09,7.444557865763726e-09,3.7691660654510205e-09
56,2.5018739241756994e-07,5.567056875214171e-09,3.3233906930886895e-09,2.4413047042907203e-09
57,6.4649240352028846e-09,1.0942517128335332e-08,2.5933474792712786e-09,3.379859852430918e-09
58,5.399766359200807e-09,6.61521074503282e-08,4.8177258544692395e-09,4.0705063540647915e-09
59,7.086793330056257e-10,2.4338970671705995e-08,7.62831427275052e-09,3.034013460856529e-09
60,2.4238171433580177e-07,4.57517690574338e-09,1.645241615789825e-08,3.822156826255e-09
61,9.185966650909727e-09,7.459473773181282e-07,2.537213315518998e-08,2.4502080034016617e-09
62,6.161595693582424e-07,2.4389713155128985e-08,8.853052464847412e-09,1.1037516940368427e-10
63,2.221142300908101e-07,3.29479561450555e-08,6.445423257465559e-09,1.3057803591873242e-09
64,7.75997735790337e-09,3.2471217778412566e-09,2.592562401747091e-09,4.685801083982702e-10
65,6.051561347739343e-07,5.8736083745839205e-08,8.177533423816119e-09,5.795102830071102e-10
66,9.492133009485214e-08,1.3055114897749872e-08,9.058231985561556e-09,4.003941003922197e-09
67,3.923521799559575e-08,5.8259479973382406e-08,3.265076131959095e-08,3.894767339855997e-09
68,3.23588304471459e-07,1.1682935483898253e-08,1.2585481173429133e-09,2.7342643131701742e-09
69,8.102911084254703e-08,1.0671460987763586e-08,4.546088792545091e-09,3.9391782365039845e-09
70,8.81036177945079e-07,4.8284146770113274e-08,9.4955200259994e-09,3.90439472421092e-09
